departamento,medicos,presupuesto,ingreso,infraestructura,anio
Amazonas,1666.0039682539682,99.9,1033.1972602517867,532,2018
Áncash,750.7803768680961,50.0,1117.0178995398753,554,2018
Apurímac,856.3587174348697,97.2,936.8529973813307,485,2018
Arequipa,249.42527932960894,98.9,1644.6450993301048,913,2018
Ayacucho,1464.58,99.5,959.8249560942064,426,2018
Cajamarca,1643.8,99.0,817.9023996545554,1102,2018
Callao,499.4393518518518,99.1,1526.3343088974968,682,2018
Cusco,517.6519012152097,95.5,1189.0212660459545,852,2018
Huancavelica,1311.3101045296166,96.3,702.5134260831036,462,2018
Huánuco,956.3977272727273,99.5,974.20230053579,369,2018
Ica,445.5477799227799,78.4,1414.8082412622186,331,2018
Junín,648.7555879494655,97.7,1130.0601975248874,909,2018
La Libertad,341.8270146358667,91.4,1268.3966761849692,650,2018
Lambayeque,446.34399156711174,91.0,1189.6735742127591,583,2018
Lima,242.79509193675324,93.7,5069.47272284976,7095,2018
Loreto,983.6283185840708,98.4,1166.17678769707,586,2018
Madre de Dios,831.5670103092783,87.3,1638.7340867675618,144,2018
Moquegua,573.4492307692308,99.0,1769.456590618382,108,2018
Pasco,973.8494623655914,99.4,1055.6593912575781,288,2018
Piura,891.7651309846432,89.0,1104.302014825138,952,2018
Puno,803.1402597402597,78.8,839.804149423849,622,2018
San Martín,1584.7550274223036,99.5,1175.7722292613016,530,2018
Tacna,315.23911111111113,98.8,1359.3861960494266,351,2018
Tumbes,1143.7014218009479,99.2,1338.2815170992449,77,2018
Ucayali,1113.081673306773,98.7,1212.0386512994914,256,2018
