Departamento,medicos,presupuesto,ingreso,infraestructura
Amazonas,1610.9473684210527,92.1,1180.6735668483311,599
Áncash,702.7740981667653,76.7,1147.6596589250848,559
Apurímac,875.2215447154472,79.9,1104.7930968680585,514
Arequipa,247.4743070189658,93.8,1542.8511698212722,913
Ayacucho,1247.633147113594,93.7,1005.6359690775146,509
Cajamarca,1466.9808467741937,88.8,1050.0318600134478,1206
Callao,522.687244666364,93.5,1430.772659017247,743
Cusco,457.2536715620828,34.9,1057.0179057192433,1001
Huancavelica,1202.5369127516778,84.0,788.2980045506094,468
Huánuco,871.7425287356322,97.9,967.1151428897186,404
Ica,436.6334208223972,65.8,1519.0784373527963,339
Junín,583.2991052407328,77.8,1133.0179385328647,962
La Libertad,314.668509984639,82.7,1406.061874790259,622
Lambayeque,394.0303120356612,39.4,1233.2296442011746,543
Lima,229.77690428131308,89.1,4456.71461411072,7901
Loreto,989.5562977099237,54.5,1177.9517289988512,656
Madre de Dios,893.9701492537314,67.2,1639.912504540857,177
Moquegua,557.6714285714286,62.3,1764.0417175219561,124
Pasco,1041.7,83.9,972.1669155469738,322
Piura,789.7486692015209,55.9,1143.0128375434676,1091
Puno,641.6633714880332,69.0,805.7463535849762,690
San Martín,1448.6888888888889,92.8,1178.9351284864906,546
Tacna,301.54988028731043,94.7,1245.6368048291326,427
Tumbes,1083.5254237288136,91.4,1186.490733312669,88
Ucayali,931.0664605873261,89.1,1279.2871597674784,279
