departamento,medicos,presupuesto,ingreso,infraestructura,anio
Amazonas,1723.9377593360996,96.2,967.1067982875425,520,2017
Áncash,782.7632120796156,83.3,1090.0389341197128,557,2017
Apurímac,927.329694323144,98.3,900.8136852494334,475,2017
Arequipa,251.2441797509475,99.9,1545.0246869268908,880,2017
Ayacucho,1566.189448441247,99.6,902.2268437705019,421,2017
Cajamarca,1699.5214285714285,99.2,843.3468519533517,1059,2017
Callao,496.96219281663514,99.8,1598.4915542618314,660,2017
Cusco,544.4671135316297,94.2,1064.7107523924003,799,2017
Huancavelica,1347.268551236749,97.8,709.0513699001398,456,2017
Huánuco,1023.7123473541384,98.6,933.1393922957764,362,2017
Ica,438.7855044074437,99.2,1363.6832700139794,321,2017
Junín,677.5613764766307,98.8,1135.6511288665852,902,2017
La Libertad,358.8847245883021,99.4,1256.4763783320384,629,2017
Lambayeque,471.6884688090737,99.6,1113.1837939566296,591,2017
Lima,247.13786673296866,86.9,4948.10731569631,6644,2017
Loreto,994.7060606060606,95.6,1167.2908682072305,533,2017
Madre de Dios,833.4784946236559,71.3,1669.2668411627194,145,2017
Moquegua,601.4342105263158,99.9,1689.6812304815016,104,2017
Pasco,1168.2586206896551,97.0,1051.0905592153247,287,2017
Piura,935.652152878568,99.5,1047.4943889542537,896,2017
Puno,856.7194444444444,98.6,818.7646915989401,610,2017
San Martín,1635.6647398843932,99.4,1128.750928235543,532,2017
Tacna,315.0373406193078,99.9,1354.2311148807862,337,2017
Tumbes,1161.64039408867,99.1,1260.8406131899796,74,2017
Ucayali,1182.673202614379,96.3,1166.8452840563766,254,2017
